motif_id	parent
MIFL
A	MIFL
B	MIFL
C	MIFL
D	MIFL
E	MIFL
F	MIFL
G	MIFL
H	MIFL
J	MIFL
K	MIFL
L	MIFL
M	MIFL
N	MIFL
P	MIFL
Q	MIFL
R	MIFL
S	MIFL
T	MIFL
U	MIFL
V	MIFL
W	MIFL
X	MIFL
Z	MIFL
N330	N300-N399
N340	N300-N399
N350	N300-N399
N360	N300-N399
N380	N300-N399
N400-N699	N
N410 N439	N400-N699
N440-N499	N400-N699
N440	N440-N499
N450	N440-N499
N500-N599	N400-N699
N500	N500-N599
N510	N500-N599
N530	N500-N599
N550	N500-N599
N570	N500-N599
N590	N500-N599
N600-N699	N400-N699
N610	N600-N699
N620	N600-N699
N630	N600-N699
N640	N600-N699
N650	N600-N699
N680	N600-N699
N700-N799	N
N700	N700-N799
N710	N700-N799
N730	N700-N799
N760	N700-N799
N770	N700-N799
N800-N899	N
N800	N800-N899
N810	N800-N899
N820	N800-N899
P10	P
P20	P
P30	P
P40	P
P50	P
P60	P
P90	P
P100-P199	P
P110	P100-P199
P120	P100-P199
P150	P100-P199
P160	P100-P199
P170	P100-P199
P190	P100-P199
P200-P299	P
P200	P200-P299
P210	P200-P299
P230	P200-P299
P250	P200-P299
P260	P200-P299
P270	P200-P299
P280	P200-P299
P290	P200-P299
P300-P399	P
P310	P300-P399
P320	P300-P399
P340	P300-P399
P360	P300-P399
P400-P499	P
P400	P400-P499
P410	P400-P499
P420	P400-P499
P430	P400-P499
P440	P400-P499
P460	P400-P499
P500-P599	P
P500	P500-P599
P510	P500-P599
P550	P500-P599
P600-P699	P
P600	P600-P699
P700-P799	P
P710	P700-P799
Q0	Q
Q10-Q99	Q
Q10	Q10-Q99
Q20	Q10-Q99
Q40	Q10-Q99
Q60	Q10-Q99
Q80	Q10-Q99
Q100-Q199	Q
Q100	Q100-Q199
Q110	Q100-Q199
Q140	Q100-Q199
Q150	Q100-Q199
Q170	Q100-Q199
Q190	Q100-Q199
Q200-Q399	Q
Q200	Q200-Q399
Q210	Q200-Q399
Q220	Q200-Q399
Q240	Q200-Q399
Q260	Q200-Q399
Q270	Q200-Q399
Q280	Q200-Q399
Q300	Q200-Q399
Q320	Q200-Q399
Q330	Q200-Q399
Q340	Q200-Q399
Q380	Q200-Q399
Q400-Q599	Q
Q400	Q400-Q599
Q410	Q400-Q599
Q430	Q400-Q599
Q450	Q400-Q599
Q470	Q400-Q599
Q500	Q400-Q599
Q520	Q400-Q599
Q550	Q400-Q599
Q560	Q400-Q599
Q570	Q400-Q599
Q580	Q400-Q599
Q590	Q400-Q599
R10	R
R40	R
R50	R
R70	R
R100-R199	R
R100	R100-R199
R110	R100-R199
R130	R100-R199
R150	R100-R199
R170	R100-R199
R200-R299	R
R200	R200-R299
R210	R200-R299
R220	R200-R299
R260	R200-R299
R300-R399	R
R300	R300-R399
R310	R300-R399
R350	R300-R399
S0	S
S10	S
S20	S
S30	S
S40	S
S50	S
S60	S
S70	S
S100-S199	S
S100	S100-S199
S110	S100-S199
S140	S100-S199
S160	S100-S199
S180	S100-S199
S200-S299	S
S200	S200-S299
S210	S200-S299
S220	S200-S299
S240	S200-S299
S250	S200-S299
S260	S200-S299
S300-S399	S
S300	S300-S399
S310	S300-S399
S330	S300-S399
S350	S300-S399
S400-S499	S
S400	S400-S499
S410	S400-S499
S430	S400-S499
S450	S400-S499
S460	S400-S499
T10	T
T30	T
T50	T
T70	T
T80	T
T90	T
T100-T199	T
T100	T100-T199
T110	T100-T199
T130	T100-T199
T150	T100-T199
T160	T100-T199
T200-T299	T
T200	T200-T299
T210	T200-T299
T230	T200-T299
T250	T200-T299
T280	T200-T299
T300-T399	T
T300	T300-T399
T310	T300-T399
T320	T300-T399
T330	T300-T399
T350	T300-T399
T360	T300-T399
T400-T499	T
T400	T400-T499
T410	T400-T499
T450	T400-T499
T460	T400-T499
T470	T400-T499
T500-T599	T
T500	T500-T599
T510	T500-T599
T540	T500-T599
T550	T500-T599
T570	T500-T599
T580	T500-T599
T590	T500-T599
T600-T699	T
T600	T600-T699
T610	T600-T699
T640	T600-T699
T670	T600-T699
T680	T600-T699
U0-U99	U
U0	U0-U99
U10	U0-U99
U30	U0-U99
U60	U0-U99
U100-U299	U
U110	U100-U299
U120	U100-U299
U130	U100-U299
U140	U100-U299
U150	U100-U299
U160	U100-U299
U170	U100-U299
U180	U100-U299
U210	U100-U299
U220	U100-U299
U230	U100-U299
U240	U100-U299
U250	U100-U299
U260	U100-U299
U270	U100-U299
V0	V
V10	V
V20	V
V30	V
V40	V
V50	V
V60	V
V70	V
V80	V
V100-V199	V
V100	V100-V199
V110	V100-V199
V120	V100-V199
V130	V100-V199
V140	V100-V199
V150	V100-V199
V200-V299	V
V200	V200-V299
V210	V200-V299
V220	V200-V299
V230	V200-V299
V250	V200-V299
V290	V200-V299
V300-V399	V
V300	V300-V399
V310	V300-V399
V320	V300-V399
V330	V300-V399
V340	V300-V399
V350	V300-V399
V360	V300-V399
V380	V300-V399
W10	W
W20	W
W100-W199	W
W100	W100-W199
W110	W100-W199
W150	W100-W199
W200-W299	W
W200	W200-W299
X0-X99	X
X0	X0-X99
X100-X199	X
X100	X100-X199
X110	X100-X199
X120	X100-X199
X130	X100-X199
X200-X599	X
X200-X299	X200-X599
X200	X200-X299
X210	X200-X299
X220	X200-X299
X230	X200-X299
X240	X200-X299
X250	X200-X299
X300-X499	X200-X599
X300	X300-X499
X310	X300-X499
X330	X300-X499
X350	X300-X499
X370	X300-X499
X410	X300-X499
X460	X300-X499
X500-X599	X200-X599
X500	X500-X599
X510	X500-X599
X520	X500-X599
X530	X500-X599
X540	X500-X599
X550	X500-X599
X600-X699	X
X600	X600-X699
X610	X600-X699
X650	X600-X699
X680	X600-X699
X700-X799	X
X700	X700-X799
X750	X700-X799
X760	X700-X799
X800-X899	X
X800	X800-X899
X900-X1899	X
X910-X1099	X900-X1899
X910-X959	X910-X1099
X910	X910-X959
X920	X910-X959
X930	X910-X959
X940	X910-X959
X960-X1019	X910-X1099
X960	X960-X1019
X980	X960-X1019
X1010	X960-X1019
X1020-X1079	X910-X1099
X1020	X1020-X1079
X1030	X1020-X1079
X1060	X1020-X1079
X1070	X1020-X1079
X1080-X1099	X910-X1099
X1100-X1199	X900-X1899
X1100	X1100-X1199
X1110	X1100-X1199
X1120	X1100-X1199
X1130	X1100-X1199
X1150	X1100-X1199
X1200-X1399	X900-X1899
X1200	X1200-X1399
X1210	X1200-X1399
X1250	X1200-X1399
X1280	X1200-X1399
X1300	X1200-X1399
X1320	X1200-X1399
X1340	X1200-X1399
X1370	X1200-X1399
X1400-X1499	X900-X1899
X1400	X1400-X1499
X1410	X1400-X1499
X1420	X1400-X1499
X1450	X1400-X1499
X1470	X1400-X1499
X1480	X1400-X1499
X1490	X1400-X1499
X1500-X1599	X900-X1899
X1500	X1500-X1599
X1510	X1500-X1599
X1520	X1500-X1599
X1530	X1500-X1599
X1540	X1500-X1599
X1550	X1500-X1599
X1560	X1500-X1599
X1600-X1699	X900-X1899
X1600	X1600-X1699
X1610	X1600-X1699
X1620	X1600-X1699
X1630	X1600-X1699
X1640	X1600-X1699
X1650	X1600-X1699
X1660	X1600-X1699
X1700-X1799	X900-X1899
X1700	X1700-X1799
X1710	X1700-X1799
X1720	X1700-X1799
X1740	X1700-X1799
X1750	X1700-X1799
X1760	X1700-X1799
X1780	X1700-X1799
X1790	X1700-X1799
X1800-X1899	X900-X1899
X1800	X1800-X1899
X1810	X1800-X1899
X1850	X1800-X1899
Z10	Z
Z20-Z59	Z
Z20	Z20-Z59
Z30	Z20-Z59
Z40	Z20-Z59
Z50	Z20-Z59
Z60	Z
Z100-Z199	Z
Z100	Z100-Z199
Z110	Z100-Z199
Z140	Z100-Z199
Z150	Z100-Z199
Z200-Z299	Z
Z200	Z200-Z299
Z210	Z200-Z299
Z230	Z200-Z299
Z300-Z399	Z
Z300	Z300-Z399
Z310	Z300-Z399
Z320	Z300-Z399
Z350	Z300-Z399
