motif_id	parent
MIFL
A	MIFL
B	MIFL
C	MIFL
D	MIFL
E	MIFL
F	MIFL
G	MIFL
H	MIFL
J	MIFL
K	MIFL
L	MIFL
M	MIFL
N	MIFL
P	MIFL
Q	MIFL
R	MIFL
S	MIFL
T	MIFL
U	MIFL
V	MIFL
W	MIFL
X	MIFL
Z	MIFL
B150	B120-B169
B160	B120-B169
B170-B189	B100-B199
B170	B170-B189
B180	B170-B189
B190	B100-B199
B200-B299	B
B210	B200-B299
B220	B200-B299
B230	B200-B299
B240	B200-B299
B250	B200-B299
B260	B200-B299
B270	B200-B299
B280	B200-B299
B290	B200-B299
B300-B599	B
B300-B349	B300-B599
B310	B300-B349
B320	B300-B349
B330	B300-B349
B340	B300-B349
B350-B399	B300-B599
B360	B350-B399
B370	B350-B399
B380	B350-B399
B390	B350-B399
B400-B499	B300-B599
B400-B449	B400-B499
B400	B400-B449
B430	B400-B449
B450	B400-B499
B470	B400-B499
B480	B400-B499
B490	B400-B499
B500-B599	B300-B599
B500	B500-B599
B510	B500-B599
B520	B500-B599
B530	B500-B599
B540	B500-B599
B550	B500-B599
B560	B500-B599
B570	B500-B599
B580	B500-B599
B590	B500-B599
B600-B699	B
B610	B600-B699
B620	B600-B699
B630	B600-B699
B640	B600-B699
B650	B600-B699
B700-B799	B
B710	B700-B799
B720-B749	B700-B799
B720	B720-B749
B730	B720-B749
B740	B720-B749
B750	B700-B799
B770	B700-B799
B800-B899	B
B870	B800-B899
C0-C99	C
C10	C0-C99
C20	C0-C99
C30	C0-C99
C40	C0-C99
C50	C0-C99
C70	C0-C99
C90	C0-C99
C100-C199	C
C100	C100-C199
C110	C100-C199
C120	C100-C199
C130	C100-C199
C140	C100-C199
C150	C100-C199
C160	C100-C199
C170	C100-C199
C180	C100-C199
C190	C100-C199
C200-C299	C
C200-C249	C200-C299
C200	C200-C249
C210	C200-C249
C220	C200-C249
C230	C200-C249
C240	C200-C249
C250-C279	C200-C299
C250	C250-C279
C260	C250-C279
C270	C250-C279
C280	C200-C299
C300	C
C310	C
C320	C
C330	C
C400-C499	C
C400	C400-C499
C410	C400-C499
C420	C400-C499
C430	C400-C499
C440	C400-C499
C450	C400-C499
C460	C400-C499
C480	C400-C499
C490	C400-C499
C500-C549	C
C500	C500-C549
C510	C500-C549
C520	C500-C549
C530	C500-C549
C550-C599	C
C550	C550-C599
C560	C550-C599
C600-C699	C
C600-C649	C600-C699
C600	C600-C649
C610	C600-C649
C620	C600-C649
C630	C600-C649
C640	C600-C649
C650-C699	C600-C699
C650	C650-C699
C680	C650-C699
C700-C899	C
C700	C700-C899
C710	C700-C899
C720	C700-C899
C730	C700-C899
C740	C700-C899
C750	C700-C899
C770	C700-C899
C780	C700-C899
C810	C700-C899
C820	C700-C899
C830-C899	C700-C899
C830	C830-C899
C900-C999	C
C900	C900-C999
C910	C900-C999
C920	C900-C999
C930	C900-C999
C940	C900-C999
C950	C900-C999
C960	C900-C999
C980	C900-C999
D0-D699	D
D10-D99	D0-D699
D10	D10-D99
D20	D10-D99
D30	D10-D99
D40	D10-D99
D50	D10-D99
D90	D10-D99
D100-D199	D0-D699
D110-D149	D100-D199
D110	D110-D149
D130	D110-D149
D150	D100-D199
D170	D100-D199
D180	D100-D199
D190	D100-D199
D200-D299	D0-D699
D210	D200-D299
D230	D200-D299
D250	D200-D299
D270	D200-D299
D300-D399	D0-D699
D310-D349	D300-D399
D310	D310-D349
D330	D310-D349
D350	D300-D399
D370	D300-D399
D380	D300-D399
D390	D300-D399
D400-D499	D0-D699
D410	D400-D499
D420	D400-D499
D430	D400-D499
D440	D400-D499
D450-D499	D400-D499
D450	D450-D499
D470	D450-D499
D480	D450-D499
D500-D599	D0-D699
D510	D500-D599
D520	D500-D599
D530	D500-D599
