motif_id	cultural_term
D642.3	Greek: Frazer Apollodorus I 22 (Mitis)
D642.3	II 54 n. 1 (Psamathe)
D642.3	67 n. 6 (Thetis); Chinese: Graham.
D642.3.1	(Cf. +D215.) Greek: Fox 181 (Daphne); India: Thompson-Balys; N. A. Indian (Crow): Lowie PaAM XXV 45.
D642.4	Irish myth: *Cross.
D642.5	Greek: Grote I 43; India: *Thompson-Balys.
D642.5.1	India: Thompson-Balys.
D642.6	India: Thompson-Balys.
D642.7	(Cf. +D671
D642.7	+D672.) Jewish: Neuman.
D643.1	India: Thompson-Balys.
D643.2	India: Thompson-Balys.
D644	Icelandic: Boberg; N. A. Indian (Seneca): Curtin-Hewitt RBAE XXXII 317
D644	323
D644	331; Eskimo (Bering Strait): Nelson RBAE XVIII 516.
D645	Irish myth: Cross.
D646	Africa (Basuto): Jacottet 262 No. 39.
D646.1	Chinese: Werner 273
D646.1	363.
D646.2	N. A. Indian: Thompson Tales 281 n. 42 (many of the references).
D647	India: Thompson-Balys.
D647.1	India: Thompson-Balys.
D647.2	India: Thompson-Balys.
D651	(Cf. +D615.) Irish myth: Cross; Welsh: MacCulloch Celtic 189; Middle English Romance: Wells 103 (Alliterative Alexander Fragment A); Icelandic: *Boberg; Greek: Fox 219 (Dionysus); India: *Thompson-Balys.
D651.1	India: *Thompson-Balys; Eskimo (Aleut): Golder JAFL XVIII 220; S. A. Indian (Yuricare): Mitraux BBAE CXLIII (3) 504
D651.1	(Munduruc'): Horton ibid.
D651.1.1	Irish myth: Cross.
D651.1.2	India: Thompson-Balys.
D651.1.3	India: Thompson-Balys.
D651.2	(Cf. +D641.3.) Icelandic: Egils saga einhenda XII 9 10; India: Thompson-Balys; Ila (Rhodesia): Smith and Dale II 359 No. 12.
D651.3	Africa (Angola): Chatelain 245 No. 47.
D651.4	*Charpentier Kleine Beitrdge 35 n. 3.
D651.5	Icelandic: *Boberg; Korean Zong in-Sob.
D651.6	India: Thompson-Balys.
D655	N. A. Indian: *Thompson Tales 300 n. 100
D655	310 n. 117c.; S. A. Indian (Toba): Mitraux MAFLS XL 124f; Africa (Hottentot): Bleek 57 No. 25
D655	(Angola): Chatelain 145 No. 15.
D655.1	Cheyenne: Campbell JAFL XXIX 407 No. 1.
D655.2	Kittredge Witchcraft 166
D655.2	484 nn.
D657	(Cf. +K300.) Icelandic MacCulloch Eddic 54; Chinese: Werner 360f.; N. A. Indian: *Thompson Tales 306 n. 109x
D657	(Calif.): Gayton and Newman 63; Africa (Basuto): Jacottet 220 No. 32.
D657.1	Cape Verde Islands: *Parsons MAFLS XV (1) 323.
D657.2	India: Thompson-Balys.
D657.3	S. A. Indian (Toba): Mitraux MAFLS XL 7
D657.3	(Choco): ibid.
D658	Greek: Frazer Apollodorus I 319 n. 2. N. A. Indian: *Thompson Tales 305 n. 109v.
D658.1	*Krappe Itudes 53ff. Irish myth: *Cross; Greek: Frazer Apollodorus I 209 n. 2 (Europa)
D658.1	Fox 24
D658.1	33
D658.1	60
D658.1	166
D658.1	223; Hindu: Keith 76 (Prajapati); N. A. Indian (Iroquois): Alexander N. Am. Cf. Chinese: Werner 363.
D658.2	"*Penzer III 126f.; *Toldo Zs. f. Vksk. d. Mdrchens s.v. ""Betr'ger 'berf'hrt""; Roscher Lexikon s.v. ""Alkmene""; Euphorion I 589f.; Zachariae Zs. f. Vksk. Irish myth: *Cross"
D658.2	MacCulloch Celtic 52
D658.2	56
D658.2	63
D658.2	75; Welsh: ibid.
D658.3	Irish myth: *Cross; Danish: Boberg; Eskimo (Greenland): Rasmussen III 49.
D658.3.1	Irish myth: Cross; Icelandic: *Boberg; Hindu: Keith 151.
D658.3.2	India: *Thompson-Balys.
D658.3.2.1	Icelandic: De la Saussaye 261 (Loki); India: Thompson-Balys.
D658.3.3	India: Thompson-Balys.
D659.1	(Cf. +D621.1.1.) New Britain: Dixon 117.
D659.2	(Cf. +D615) Icelandic: Boberg; Irish myth: *Cross; Persian: Carnoy 269; Eskimo (Mackenzie Area): Jenness 38.
D659.3	India: Thompson-Balys; Africa (Basuto): Jacottet 94 No. 14.
D659.4.1	(Cf. +D112.1
D659.4.1	+D621.1.) Spanish: Boggs FFC XC 62 No. 451.
D659.4.2	(Cf. +D419.1.1
D659.4.2	+B11.) Chinese: Werner 311.
D659.4.3	Africa (Hausa): Equilbecq II 171ff.
D659.4.4	Icelandic: Boberg.
D659.5	Irish myth: *Cross.
D659.6	Italian Novella: Rotunda.
D659.7	Italian Novella: Rotunda.
D659.8	Irish myth: Cross.
D659.9	Irish myth: Cross.
D659.10	Irish myth: *Cross; India: *Thompson-Balys.
D659.11	French Canadian: Sister Marie Ursule.
D659.12	French Canadian: Sister Marie Ursule. (Cf. +D23.1.)
D659.13	India: Thompson-Balys.
D659.14	India: Thompson-Balys.
D661	*Dh II 99ff.
D661	123ff.
D661	III 284ff.
D661	404ff.
D661	426ff.
D661	IV 262; *Type 751A
D661	368*
D661	"402*; *Fb ""fisk"" I 296b"
D661	"""sten"" III 553b"
D661	554a; *BP III 168
D661	"462; Ktshler-Bolte I 154; Bolte Zs. f. Vksk. Bolte) No. 413. Icelandic: *Boberg; Finnish: Kalevala rune 33; Spanish: Boggs FFC XC 97 No. 836A*; Breton: Sibillot Incidents s.v. ""amoureux""; Swiss: Jegerlehner Oberwallis 313 No. 82; Greek: Frazer Apollodorus I 343 (Niobe)"
D661	Fox 29 (Io); Jewish: Neuman; Tahiti: Dixon 65; Africa (Fjort): Dennett 89 No. 22
D661	105 No. 29.
D661.1	Irish myth: Cross.
D661.2	Der Heiligen Leben und Leiden 100ff.
D661.3	Greek: Grote I 162.
D662	*Chauvin II 183 No. 23.
D663	Italian Novella: Rotunda.
D664	India: Thompson-Balys.
D665	Irish myth: *Cross.
D665.1	Irish myth: *Cross.
D665.2	Irish myth: Cross.
D665.3	India: Thompson-Balys.
D666	Icelandic: Hjblmtirs saga ok Tslvers 472
D666	Boberg; Jewish: Neuman.
D666.1	India: Thompson-Balys.
D670	Irish myth: Cross; *Krappe The Legend of Walther and Hildegund (Journal of English and Germanic Philology XXII [1923] 75 88).
D671	*Types 313
D671	325
D671	"327; **Aarne Die magische Flucht (FFC XCII); *Fb ""and"" IV 12b"
D671	"""rose"" III 80a. Irish myth: *Cross; English: Child V 499 s.v. ""transformations""; Greek: Grote I 182; Jewish: Neuman; Arabian: Burton Nights V 353; India: *Thompson-Balys; Japanese: Ikeda; Philippine (Tinguian): Cole 75"
D671	17 n. 1; Eskimo (Greenland): Rasmussen I 327
D671	367
D671	III 124
D671	Rink 195
D671	(Cumberland Sound): Boas BAM XV 182; N. A. Indian: *Thompson Tales 334 n. 205b; S. A. Indian (Sharanti
D671	Comacan
D671	Mashacaln): Horton BBAE CXLIII 3 294
D671	(Mundurucu): Horton ibid. Africa (Kaffir): Theal 98
D671	(Zulu): Callaway 21
D671	(Basuto): Jacottet 206 No. 30
D671	Casalis Les Bassoutos (Paris 1859) 349.
D671.0.1	Africa (Zulu): Held 144ff.
D671.0.1	(Bechuana): Brown
D671.0.1	J. T. Among the Bantu Nomads (London
D671.0.1	1926) 181ff.
D671.0.1	(Northern Rhodesia): Worthington The Little Wise One (London
D671.0.1	1930) 135ff.
D671.0.2	Irish myth: Cross; Greek: Grote I 238.
D671.1	Koryak: Jochelson JE VI 363.
D672	*Types 313
D672	314
D672	325
D672	327
D672	"502; **Aarne Die Magische Flucht (FFC XCII); **BP II 140; Fb ""her"" I 771b"
D672	"""flaske"" I 309a"
D672	"""hvidtorn"" I 703a; *Wesselski Theorie 31; *Hdwb. d. Abergl. England"
D672	Scotland
D672	"U.S.: *Baughman; Irish myth: Cross; Breton: Sibillot Incidents s.v. ""objets""; Swiss: Jegerlehner Oberwallis 304 No. 30; Icelandic: Boberg; Hungarian: Solymossy Hongaarsche Sagen (Zutphen"
D672	1929) 403; French Canadian: Barbeau JAFL XXIX 11; Jewish: Neuman; India: *Thompson-Balys
D672	Penzer II 21
D672	III 227 n. 1
D672	236ff.
D672	IX 151; Chinese: Eberhard FFC CXX 234f.; Korean: Zong in-Sob 173f.; Japanese: Ikeda: Indonesian: Dixon 236 nn. Cf. Ceiuci: Alexander Lat. Am.
D672.1	S. A. Indian (Ceiuci): Alexander Lat. Am.
D673	Type 450; BP III 205. Arabic: A. Jahn Die Mehri-Sprache in S'darabien (Wien
D673	1902) 124 No. 28
D673	D. H. M'ller Mehri und Hadrami-Texte (Wien
D673	1909) 99 No. 39
D673	ibid.
D674	Lithuanian: Balys Index No. *314B.
D675	Eskimo (Greenland): Rasmussen I 328
D675	367
D675	III 124
D675	260
D675	Rink 195
D675	(Cumberland Sound): Boas BAM XV 182.
D681	(Cf. +D701.) Ktshler-Bolte I 573. Greek: Hahn Gr.
D682	Tobler 54
D682	59ff.
D682	80; Jewish: Neuman.
D682.1	Hartland Science 198; India: Thompson-Balys; Eskimo (Greenland): Rasmussen I 150
D682.1	(Central Eskimo): Boas BAM XV 182
D682.1	253
D682.1	(Mackenzie Area): Jenness 49.
D682.2	Irish: MacCulloch Celtic 168.
D682.3	Irish myth: *Cross; Penzer VI 5 n. 1.
D682.3.1	Eskimo (Greenland): Rink 456
D682.3.1	Rasmussen III 73
D682.3.1	(Smith Sound): Kroeber JAFL XII 173
D682.3.1	(Central Eskimo): Boas BAM XV 217.
D682.3.2	Icelandic: *Boberg.
D682.4	Irish myth: Cross.
D682.4.1	Irish myth: Cross.
D682.4.2	Irish myth: *Cross.
D683	Kittredge Witchcraft 184 n. 97; Irish myth: *Cross; See also all notes to +D615.1.
D683.1	See all references for motifs +A900 +A999 for work of transformers. (Cf. +D272.) Marshall Islands: Davenport JAFL LXVI 222.
D683.2	*Types 403
D683.2	405
D683.2	410
D683.2	450
D683.2	451; *Kittredge Witchcraft 183f. Irish myth: *Cross; Italian Novella: Rotunda; Greek: Fox 137 (Circe); Spanish: *Boggs FFC XC No. 449; India: Thompson-Balys.
D683.3	"Fb ""trold"" III 852b."
D683.4	*Toldo Studien zur vgl.
D683.5	Italian Novella: Rotunda.
D683.6	Irish myth: Cross.
D683.7	Irish myth: *Cross.
D683.7.1	Irish myth: Cross.
D683.8	Irish myth: *Cross; Jewish: Neuman.
D683.9	Irish myth: Cross.
D684	*Type 329.
D684.0.1	Irish myth: Cross.
D686	Jamaica: Beckwith MAFLS XVII 102 No. 84.
D686.1	Scottish: Campbell-McKay No. 1 and note.
D688	*Types 403
D688	450; BP I 79ff.
D688	99ff. India: Thompson-Balys; Jewish: Neuman; Japanese: Ikeda. Africa (Bushman): Bleek and Lloyd 87
D688	(Kaffir): Theal 61.
D688.1	Chinese: Graham.
D691	Chauvin V 3 No. 2
D691	*5 No. 443.
D692	Chauvin VI 57 No. 222 n. 3.
D693	*Type 430; *BP III 166.
D694	India: Thompson-Balys.
D695	Irish myth: Cross.
D696	Irish myth: Cross.
D697.1	India: Thompson-Balys.
D698	Greek myth: passim; Hawaii: Beckwith Myth 2
D698	and chapt.
D699.1	India: Thompson-Balys.
D700	Types 314
D700	402
D700	434*
D700	442
D700	"502; *Hdwb. d. Abergl. Irish myth: Cross; Breton: Sibillot Incidents s.v. ""mitamorphose""; India: *Thompson-Balys; Chinese: Werner 285"
D700	356
D700	364.
D701	(Cf. +D617.) *Type 307; Wimberly 381; Moe Samlede Skrifter I 52; German: Grimm Nos. 108
D701	121
D701	137; India: Thompson-Balys.
D702.1.1	(Cf. +D142
D702.1.1	+D621.1.1.) *Taylor MPh XVII 59 n. 8; Tobler 43; Eng.
D702.1.1	Ire.
D702.1.1	U.S.: *Baughman; India: Thompson-Balys; Japanese: Ikeda.
D702.1.2	Scotland
D702.1.2	U.S.: *Baughman.
D702.2	German: Grimm No. 49.
D705.1	India: Thompson-Balys.
D710	Types 507A
D710	507C; India: Thompson-Balys; Irish myth: Cross.
D711	*Types 314
D711	402
D711	425
D711	440
D711	441
D711	471
D711	506
D711	507
D711	531
D711	545A
D711	545B
D711	550
D711	"708; *Fb ""hoved"" I 655a"
D711	"""lshse"" II 517a; **Kittredge JAFL XVIII 1; BP I 9"
D711	III 60; Hartland Science 241. Irish myth: *Cross; French Canadian: Barbeau JAFL XXIX 17; French: Sibillot France III 52
D711	140; India: Thompson-Balys; Africa (Fjort): Dennett 39 No. 5.
D711.1	"Type 531; Fb ""hund"" I 678a."
D711.1.1	Irish myth: Cross.
D711.2	Type 506
D711.2	507
D711.2	BP III 537; India: Thompson-Balys.
D711.3	"Fb ""nzhb""."
D711.4	Type 407. Lithuanian: Balys Index Nos. *368
D711.4	407; India: Thompson-Balys.
D711.4.1	India: *Thompson-Balys.
D711.5	Africa (Fjort): Dennett 42 No. 6.
D711.6	India: Thompson-Balys.
D712.1	"(Cf. +D711.1.) Kittredge JAFL XVIII 13; Fb ""fle""; Irish myth: Cross."
D712.1.1	German: Grimm No. 57.
D712.1.2	India: Thompson-Balys.
D712.2	Type 440; Hartland Science 242. Eskimo (Bering Strait): Nelson RBAE XVIII 510; Chile: Pino Saavedra 402.
D712.2.1	(Cf. +E15.) India: Thompson-Balys.
D712.3	Wimberly 343. Spanish: Boggs FFC XC 57 No. 412; Missouri-French: Carriire; Chinese: Werner 309; India: Thompson-Balys.
D712.3.1	Irish myth: *Cross.
D712.3.2	India: Thompson-Balys.
D712.3.3	India: Thompson-Balys.
D712.4	"*Fb ""blod"" IV 48a; Child I 178"
D712.4	337 n.; Wimberly 342; *Jijena Sanchez 19f.
D712.4	36.
D712.4.1	Child I 178
D712.4.1	337 n.; Wimberly 341.
D712.5	N. A. Indian: *Thompson Tales 348 n. 249a; Eskimo (Cumberland Sound): Boas BAM XV 187
D712.5	(Ungava): Turner RBAE XI 265
D712.5	(Central Eskimo): Boas RBAE VI 630
D712.5	(Labrador): Hawkes GSCan XIV 158
D712.5	(Greenland): Rink 93
D712.5	Rasmussen II 38
D712.5	III 104.
D712.6	Kittredge JAFL XVIII 11; *Jijena Sanchez 35
D712.6	49; Chinese: Graham.
D712.7	"Kittredge JAFL XVIII 11; Fb ""and"" IV 12b. Africa (Mpongwe): Nassau 76 No. 15."
D712.8	Penzer Sigfrid 113.
D712.9	Eskimo (Greenland): Rasmussen III
D712.9.1	India: Thompson-Balys.
D712.10	Irish myth: Cross.
D712.11	India: Thompson-Balys.
D714	French Canadian: Barbeau JAFL
D716	Type 406*; Hartland Science 243.
D717.1	India: Thompson-Balys.
D718	"Fb ""lshse"" II 517a."
D719.1	"Fb ""levende"" II 404ab."
D719.1.1	Chinese: Graham.
D719.2	India: Thompson-Balys.
D721	See all references to +D361.1
D721	Swan Maiden. Irish myth: *Cross: India: *Thompson-Balys; Chinese: Graham; Eskimo (Kodiak): Golder JAFL XX 299
D721	(Mackenzie Area): Jenness 51; Koryak: Jochelson JE VI 131
D721	156
D721	335; Africa (Pangwe): Tessman 368f.
D721.1	"Fb ""fle""; Kittredge JAFL XVIII 12."
D721.2	"*Type 400; *Fb ""szhlhund"". Scandinavian: Krappe Scandinavian Studies XVIII (1944) 156 162; Slavic: Mbchal 258; India: Thompson-Balys; Chinese: Graham; Surinam: Alexander Lat. Am."
D721.3	*Type 425
D721.3	430
D721.3	440
D721.3	441; Ktshler-Bolte I *319
D721.3	511; *Chauvin VII 37 No. 212B. Icelandic: *Boberg; Turkish: Giese T'rkische Mdrchen (Jena 1925) 120; India: *Thompson-Balys; Chinese: Graham; Korean: Zong in-Sob 177. Eskimo (Kodiak): Golder JAFL XVI 89
D721.3	(Mackenzie Area): Jenness 55
D721.3	(Cumberland Sound): Boas BAM XV 224; N. A. Indian: *Thompson Tales 347 n. 249; S. A. Indian: Jijena Sanchez 23; Africa: Frobenius Atlantis IV 69
D721.3	287.
D721.4	India: *Thompson-Balys.
D721.5	Type 408; India: *Thompson-Balys.
D722	See references in +D535. *Type 325; *BP II 67; Chauvin V 150 No. 73. French Canadian: Barbeau JAFL XXIX 17; Missouri French: Carriire; India: Thompson-Balys.
D723.1	See all references to +D536.1.
D723.2	French Canadian: Barbeau JAFL XXIX 17; India: *Thompson-Balys.
D723.2.1	India: Thompson-Balys.
D730	Icelandic: Hjblmthirs saga ok Tslvis 510
D730	515; French Canadian: Barbeau JAFL XXIX 17.
D731	*Type 431.
D732	Maynadier The Wife of Bath's Tale; Taylor Washington Univ. Irish myth: *Cross; Icelandic: *Boberg. Ila (Rhodesia): Smith and Dale II 404 No. 1; India: Thompson-Balys.
D732.1	Hartland Science 237
D732.1	243.
D733	India: *Thompson-Balys; Eskimo (Kodiak): Golder JAFL XVI 16; N. A. Indian: *Thompson Tales 329 n. 188; S. A. Indian (Toba): Mitraux MAFLS XL 44
D733	87.
D733.1	*C. A. Williams Oriental Affinities of the Legend of the Hairy Anchorite (U. of Illinois
D733.1	1925) 15; Gaster Oldest Stories 43.
D733.2	Italian Novella: Rotunda.
D733.3	Buddhist myth: Malalasekera I 648.
D734	"*BP I 9; Type 440; Fb ""lshse"" II 517a. English: Child I 298"
D734	II 502b
D734	IV 454a
D734	V 213a
D734	215b; Indonesian: Dixon 210; Africa (Zulu): Callaway 63
D734	321
D734	327.
D735	*Type 410; BP I 9
D735	II 236 n.
D735	271
D735	561; Wimberly 335ff.; Hartland Science 238 f.
D735	241; Taylor Washington Univ. Irish myth: *Cross; English: Child I 306ff.
D735	Icelandic: Sveinsson FFC LXXXIII xxxv
D735	*Boberg; France: Sibillot France I 244
D735	III 291; India: *Thompson-Balys; Philippine: Fansler MAFLS XII 247 No. 29; Africa: Frobenius Atlantis I 108.
D735.1	*Type 402
D735.1	425
D735.1	433A
D735.1	"440; Fb ""kys""; Dickson 55 nn. f. Vksk. English: Child V 486 s.v. ""kiss""; Chile: Pino Saavedra 404f.; India: Cowell Jataka V 141; Philippine: Fansler MAFLS XII 303; Africa (Kaffir): Theal 38."
D735.2	Tobler 69; **M. Waehler Die weisse Frau (Erfurt 1931); *Hdwb. d. Abergl. Swiss: Jegerlehner Oberwallis 298 No. 3
D735.2	307 No. 24
D735.2	314 No. 103
D735.2	322 No. 93
D735.2	325 No. 3
D735.2	329 No. 32; Lithuanian: Balys Index No. 3592.
D735.3	Greek: Frazer Apollodorus II 262 n. 2 (Demophon and Phyllis).
D735.4.1	Africa (Bantu): Theal Zambesi 279ff.
D735.4.2	Africa (Suto): Hoffman Zs.
D741	Type 708.
D741.1	Type 708. Cf. Hupa: Goddard UCal I 147.
D741.2	*Hibbard 45ff.
D742	Lithuanian: Balys Historical.
D743	Cheremis: Sebeok-Nyerges.
D745	"Fb ""lshse"" II 517a."
D750	Irish myth: Cross.
D753	Type 518; Irish myth: Cross; Lithuanian: Balys Index No. *422; Prussian: Plenzat 21; Rumanian: Schullerus FFC LXXVIII No. 308*; Hungarian: Honti FFC LXXXI No. 4011.
D753.1	"*Type 451; Fb ""skjorte"" III 268b."
D753.2	Italian: Basile introduction.
D753.3	Lithuanian: Balys Historical.
D753.4	German: Grimm No. 93.
D754	German: Grimm No. 106.
D755	India: Thompson-Balys.
D757	*Types 403
D757	"450; *MacCulloch Childhood 45; Hartland Science 242. Greek: Fox 122 (Thetis); English: Child V 499 s.v. ""transformation"
D757	"successive""; Eskimo (Greenland): Rink 326. See also"
D757	in general
D757	references to +D610.
D758	*Type 451; Hartland Science 242.
D758.1	"*Type 400; cf. Type 307; *BP II 330; *Fb ""tie"" III 792a; Hartland Science 246."
D758.2	German: Grimm Nos. 9
D758.2	49
D758.2	137.
D759.1	Hartland Science 240; Tobler Epiphanie der Seele 74.
D759.2	"(Cf. +D764.1.) Fb ""trane""."
D759.3	Hartland Science 236.
D759.4	Hartland Science 246.
D759.5	Hartland Science 241.
D759.6	Spanish: Boggs FFC XC 59 No. 425*D.
D759.7	Spanish: Boggs FFC XC No. 445B.
D759.8	Tobler 21.
D759.9	Lithuanian: Balys Index No. *422B.
D759.10	Lithuanian: Balys Index No. *422B.
D762	*Type 403
D762	450; Cosquin 166f.
D762	170. Spanish: Boggs FFC XC 61 No. 445A; Lithuanian: Balys Index No. *422A; Russian: Andrejev No. *400B.
D762.1	Lithuanian: Balys Historical.
D762.2	German: Grimm Nos. 50
D762.2	163.
D763	Chauvin VI 88 No. 252. Irish myth: Cross; Eskimo (Kodiak): Golder JAFL XVI 28
D763	(Cumberland Sound): Boas BAM XV 325.
D763.1	"Fb ""lshse"" II 517a."
D763.2	Irish myth: Cross.
D764	Irish myth: Cross.
D764.1	"(Cf. +D759.2.) *Fb ""lshse"" II 517a."
D764.2	*Hdwb. d. Mdrchens sv.
D764.3	Irish myth: Cross.
D764.4	Cheremis: Sebeok-Nyerges.
D764.5	Eskimo (Cumberland Sound): Boas BAM XV 327.
D764.6	German: Grimm No. 122; Apulejus Golden Ass.
D764.7	German: Grimm No. 93.
D764.8	Jewish: Neuman.
D765.1.1	(Cf. +D551.4.1.) Penzer VII 42 n. 1
D765.1.1	222.
D765.1.1.1	Italian Novella: Rotunda.
D765.1.2	"(Cf. +D582.) Fb ""lshse"" II 517a. Spanish: Boggs FFC XC 59"
D765.1.2	62 Nos. 435
D765.1.2	449; Missouri-French: Carriire; India: *Thompson-Balys.
D765.2	"Fb ""knude"" II 228."
D766.1	Type 433B; Taylor Washington Univ. India: *Thompson-Balys.
D766.1.1	India: *Thompson-Balys.
D766.1.2	India: Thompson-Balys.
D766.1.3	Eskimo (Mackenzie Area): Jenness 40.
D766.2	(Cf. +D712.4
D766.2	"+D712.4.1). *Type 516; *Rtssch FFC LXXVII 138; *Fb ""blod"" IV 46b"
D766.2	47a; Child I 337 n.; Penzer I 97; Wesselski Mtsnchslatein 148 No. 119. Irish myth: *Cross; Spanish: Boggs FFC XC 53 No. 400A*; India: *Thompson-Balys.
D766.2.1	Irish myth: Cross.
D766.3	*Type 425. Africa (Angola): Chatelain 35 No. 1.
D766.4	Wimberly 372; Type 433B and 507 (Danish forms); India: Thompson-Balys.
D771.1	Ktshler-Bolte I 573.
D771.2	Cape Verde Islands: Parsons MAFLS XV (1) 219 No. 73; Greek Odyssey 10 line 394.
D771.3	Chauvin VI 8 No. 273.
D771.4	MacCulloch Childhood 205; India: *Thompson-Balys.
D771.5	Irish myth: Cross.
D771.6	India: Thompson-Balys.
D771.7	Lithuanian: Balys Historical.
D771.8	India: Thompson-Balys.
D771.9	India: Thompson-Balys.
D771.10	German: Grimm No. 123.
D771.11	German: Grimm No. 69.
D771.12	German: Grimm No. 196.
D772	"Wimberly 345; *Fb ""varulv"" III 1015a."
D772.1	German: Grimm Nos. 62
D772.1	160.
D775	Estonian: Aarne FFC XXV 130 No. 72.
D777	"Breton: Sibillot Incidents s.v. ""mouchoir""."
D777.1	German: Grimm No. 76; India: *Thompson-Balys.
D778	Chauvin V 236 No. 134; Eskimo (Greenland): Rasmussen III 105.
D778.1	Lithuanian: Balys Index No. *702.
D778.2	Cheremis: Sebeok-Nyerges.
D781	Meyer Zs. f. Vksk.
D781.1	German: Grimm No. 141.
D782	Kittredge Gawain 205f.
D782	216f. Spanish: Boggs FFC XC 70 No. 535; Irish myth: Cross; German: Grimm No. 49
D782	56
D782	60
D782	76
D782	96.
D782.1	India: Thompson-Balys.
D782.2	India: Thompson-Balys.
D783	Type 451.
D784	Type 727*.
D785	Cape Verde Islands: Parsons MAFLS XV (1) 330.
D785.1	India: Thompson-Balys.
D786	Wimberly 332.
D786.1	Eskimo (Greenland): Holm 63; Africa (Swazi): Bourhill and Drake 212ff.
D787	Wimberly 363.
D788	(Cf. +D1766.6.) Wimberly 367.
D789.1	Wimberly 390.
D789.2	Spanish: Boggs FFC XC 54 No. 400B*.
D789.3.1	Hindu: Keith 147.
D789.4	(Cf. C.) Hindu: Keith 147.
D789.5	German: Grimm No. 181.
D789.6	South Africa: Bourhill and Drake 237ff.
D789.6.1	Lithuanian: Balys Historical.
D789.7	Irish myth: Cross.
D789.8	Lithuanian: Balys Historical.
D789.9	India: Thompson-Balys.
D789.10	Korean: Zong in-Sob 97.
D791	Lithuanian: Balys Index No. 3593.
D791.1	Irish myth: *Cross; *Jijena Sanchez 35
D791.1	36
D791.1	68
D791.1	70.
D791.1.1	Spanish: Boggs FFC XC No. 453.
D791.1.2	Hartland Science 240.
D791.1.3	**Ranke Der Erltsser in der Wiege; Hartland Science 244f; *Pauli (ed. Bolte) No. 80.
D791.1.4	Irish myth: Cross.
D791.1.5	Irish myth: Cross.
D791.1.6	Lithuanian: Balys Historical.
D791.1.7	Jijena Sanchez 38
D791.1.7	55.
D791.1.8	German: Grimm No. 179.
D791.2.1	BP II 125.
D791.2.2	India: Thompson-Balys.
D791.2.2.1	India: Thompson-Balys.
D791.3	Lithuanian: Balys Historical.
D791.4	Lithuanian: Balys Historical.
D792	Africa (Ekoi): Talbot 333.
D793.1	Italian: Basile I No. 2.
D793.2	Cf. +D721.3.
D794.1	South Africa: Bourhill and Drake 237ff.
D795	*BP II 325.
D796	Penzer III 92 n. 2
D796	VIII 25 n. 2.
D797	India: Thompson-Balys.
D798	Argentina
D798	Paraguay: Jijena Sanchez 45.
D799	Irish myth: Cross.
D799.1	Irish myth: Cross.
D799.2	Irish myth: Cross.
D799.3	German: Grimm Nos. 50
D799.3	106
D799.3	127
D799.3	169
D799.3	179.
D800	*Toldo Studien zur vgl.
D801	Irish myth: Cross.
D801.1	(Cf. +F451.7
D801.1	+G234
D801.1	+D1711.) German: Grimm Nos. 53
D801.1	56
D801.1	60
D801.1	191.
D803.1	(Cf. +A0). Jewish: Neuman.
D804	(Cf. +C431.) Jewish: Neuman.
D805	Italian: Basile introduction.
D806.1	Africa (Bulu): Krug JAFL XXV 113 No. 9.
D806.2	India: Thompson-Balys.
D810	*BP I 361; *Aarne JSFO XXVII 1 96. Irish myth: Cross; Icelandic: *Boberg; India: *Thompson-Balys.
D811	*Toldo IX 451ff. Irish myth: *Cross; Icelandic: Tsrvar-Odds saga 138 41
D811	"Boberg; Finnish: Kalevala rune 36; Breton: Sibillot Incidents s.v. ""baguette""; Greek: Fox 40"
D811	*Grote I 88.
D811.1	Hartland Perseus III 109; India: *Thompson-Balys.
D811.2	India: Thompson-Balys.
D811.2.1	(Cf. +D1766.1.) India: Thompson-Balys.
D812	Japanese: Ikeda.
D812.1	BP I 361. Irish myth: *Cross; Icelandic: *Boberg; French Canadian: Barbeau JAFL XXIX 15f.; India: *Thompson-Balys; Chinese: Eberhard FFC CXX 25
D812.1	50.
D812.2	Africa (Ekoi): Talbot 18.
D812.3	"*Aarne MSFO XXV 39. Irish myth: Cross; Breton: Sibillot Incidents s.v. ""baguette""; Hindu: Penzer IX 45 n. 1."
D812.4	*Aarne MSFO XXV 39; *Chauvin V 78 No. 22 n. 1. Icelandic: *Boberg; Chinese: Eberhard FFC CXX 25; Africa (Ekoi): Talbot 47
D812.4	211.
D812.4.1	Africa (Cameroons): Mansfeld 229f.
D812.4.2	French Canadian: Sister Marie Ursule.
D812.5	*Type 561; *BP II 547. India: *Thompson-Balys; Chinese: Eberhard FFC CXX 109.
D812.5.1	Chinese: Graham.
D812.6	Type 576*****
D812.6	576***.
D812.7	Japanese: Anesaki 315.
D812.8	"(Cf. +D825.) Hdwb. d. Mdrchens s.v. ""Baum""; BP II 544. Irish myth: Cross; Greek: Fox 40; India: Thompson-Balys."
D812.8.1	Norse: *Boberg.
D812.8.2	India: *Thompson-Balys.
D812.9	Italian: Basile I No. 1.
D812.10	Irish myth: Cross; Jewish: Neuman; India: Thompson-Balys.
D812.10.0.1	Irish myth: Cross.
D812.11	Icelandic: *Boberg; Irish myth: *Cross.
D812.12	Icelandic: *Boberg; German: Grimm Nos. 28
D812.12	64
D812.12	91
D812.12	97
D812.12	165.
D812.12.1	Icelandic: *Boberg.
D812.13	India: Thompson-Balys.
D812.14	India: Thompson-Balys; Buddhist myth: Malalasekera I 849
D812.14	II 210
D812.14	656.
