motif_id	cultural_term
A63	127 205 passim; *Handwb. d. Abergl. Estonian: Loorits Grundz' ge I 458f.
A63.1	*Dh I 2
A63.1	42f.
A63.1	55
A63.1	60
A63.1	102
A63.1	115ff.; India: Thompson-Balys.
A63.2	*Dh I 184f. Lithuanian: Balys Index 3005; Balys Legends No. 11.
A63.3	*Dh I 184f.
A63.4	BP III 199 (Gr.
A63.4.1	Lithuanian: Balys Index 3082; Balys Legends No. 131ff.
A63.5	Irish Myth: Cross; Jewish: Neuman.
A63.5.1	Jewish: Neuman.
A63.6	Jewish: Neuman. India: Thompson-Balys.
A63.7	Hawaii: Beckwith Myth 61.
A63.7.1	Irish myth: Cross (+A63.7).
A63.8	Jewish: Neuman.
A67	New Hebrides: Beckwith Myth 61.
A71	Greek: cf. Roscher II 1540. Am.
A72	See +A900ff. Aztec: Alexander Lat. Am. Am. Indian: *Mi traux RMLP XXXIII 122
A72	BBAE CXLIII (3) 437.
A73	Finnish: Kalevala rune 2. So. Am. Indian (Yuracare): Mi traux BBAE CXLIII (3) 503.
A74.1	Jewish: Neuman.
A74.2	Jewish: Neuman.
A75	Chinese: Werner 76.
A76	(Cf. +A192.) Chinese: Werner 77.
A77	Chinese: Werner 77.
A78	Calif. Indian: Gayton and Newman 59.
A81	Calif. Indian: Gayton and Newman 57.
A84.1	India: Thompson-Balys.
A85	India: Thompson-Balys.
A87	So. Am. Indian (Guaray' ): Mi traux RMLP XXXIII 147.
A101	Durkheim 274
A101	409ff.; Leroy La raison primitive 125ff.; Holmberg Gudstron 61ff.; C. Koch Der rts mische Juppiter. Indonesian: Kruyt Archipel 465ff.; Maori: Clark 32; Tahiti: Henry 121
A101	128; Hawaii: Beckwith Myth 45. African: Frobenius Atlantis X 82
A101	Werner African 123ff.; N. A. Indian: Alexander N. Am. Am. Indian (Guarani): Mi traux BBAE CXLIII (3) 93; Africa (Fang): Trilles 130
A101	(Luba): Donohugh V 180.
A101.1	(cf. +A0). Icel.: MacCulloch Eddic 326; Armenian: Ananikian 20; India: Thompson-Balys; Tarascan: Alexander Lat. Am.
